frame,pt_atom_id,distance_COM_Pt_A
0,16645,17.852
1,16645,16.884
2,16648,19.104
3,16648,17.083
4,16645,18.042
5,16648,14.892
6,16648,9.489
7,16648,9.536
8,16648,13.089
9,16648,13.030
10,16648,15.487
11,16647,19.151
12,16645,20.624
13,16645,15.327
14,16645,8.914
15,16645,7.958
16,16645,8.125
17,16645,10.704
18,16645,13.317
19,16663,20.284
20,16663,17.847
21,16654,15.468
22,16654,14.733
23,16654,13.451
24,16659,15.576
25,16659,13.900
26,16659,19.536
27,16657,17.875
28,16657,22.159
29,16654,16.533
30,16654,11.360
31,16654,15.604
32,16654,15.937
33,16649,14.950
34,16649,12.739
35,16649,11.191
36,16649,12.058
37,16649,11.200
38,16649,9.391
39,16649,9.568
40,16662,14.135
41,16646,5.937
42,16646,8.397
43,16659,17.603
44,16659,15.407
45,16646,12.406
46,16646,11.673
47,16646,9.511
48,16646,13.315
49,16646,14.082
50,16646,16.444
51,16663,16.043
52,16646,19.628
53,16646,22.103
54,16657,19.464
55,16646,14.065
56,16663,22.025
57,16663,16.478
58,16662,12.588
