Ion,Frame,Directory,Electrostatics (kJ/mol),Exchange (kJ/mol),Induction (kJ/mol),Dispersion (kJ/mol),Total SAPT (kJ/mol)
K,35,SAPT_K_frame0035,-154.5486886,0.15216883,-5.23275567,-0.22304262,-159.85231806
K,36,SAPT_K_frame0036,-134.35330419,0.03922981,-5.26989927,-0.24288718,-139.82686083
K,37,SAPT_K_frame0037,-139.4315893,0.07737549,-5.38868822,-0.22869736,-144.9715994
K,38,SAPT_K_frame0038,-314.73424838,25.53106137,-30.9385837,-4.13376635,-324.27553706
K,39,SAPT_K_frame0039,-128.47162268,0.13076461,-6.57130048,-0.28267406,-135.19483261
Na,35,SAPT_Na_frame0035,-42.17136759,1.4e-07,-0.50953197,-0.0002915,-42.68119092
Na,37,SAPT_Na_frame0037,-24.33931457,0.0,-0.25331922,-9.365e-05,-24.59272743
Na,38,SAPT_Na_frame0038,-11.47727369,0.0,-0.14276028,-4.194e-05,-11.62007592
Na,39,SAPT_Na_frame0039,-34.49015949,0.0,-0.38369951,-0.00017787,-34.87403686
Na,40,SAPT_Na_frame0040,-45.15357586,6e-08,-0.45413934,-0.00025468,-45.60796983
